동별(2),2022 3/4,2022 3/4,2022 3/4
동별(2),한국인,등록외국인,65세이상고령자
소계,"9,450,768","231,358","1,650,367"
구로구,"393,181","23,389","75,041"
영등포구,"376,216","22,722","64,285"
동대문구,"337,106","16,075","63,807"
용산구,"219,275","14,459","38,784"
관악구,"486,787","13,963","81,713"
금천구,"230,504","13,368","42,444"
광진구,"338,257","12,816","53,405"
서대문구,"305,149","12,010","55,404"
마포구,"365,266","10,796","55,525"
성북구,"431,827","10,769","76,719"
종로구,"141,978","10,021","27,787"
중구,"120,969","9,795","24,841"
동작구,"383,637","8,991","67,863"
성동구,"282,250","6,691","47,347"
송파구,"660,211","5,636","102,103"
강서구,"570,368","5,445","95,836"
강남구,"530,103","4,885","80,836"
중랑구,"386,390","4,720","74,112"
노원구,"505,503","4,183","90,914"
서초구,"405,076","3,949","61,703"
강동구,"460,617","3,873",773
은평구,"470,289","3,835","89,308"
강북구,"294,876","3,746","65,655"
양천구,"442,145","3,125","71,333"
도봉구,"312,788","2,096","66,253"
